Date,Open,High,Low,Close,Volume
2014-07-02,423.0,423.25,416.25,418.5,6362
2014-07-03,418.75,420.25,416.25,417.0,3041
2014-07-07,412.25,413.25,405.5,409.25,2821
2014-07-08,410.5,411.0,407.25,408.25,3811
2014-07-09,408.75,408.75,400.75,404.0,3041
2014-07-10,404.0,406.0,399.25,400.5,2865
2014-07-11,400.5,403.5,394.0,399.75,1990
2014-07-14,397.75,408.75,390.0,390.25,63853
2014-07-15,381.0,381.25,371.0,374.0,104821
2014-07-16,374.0,386.25,373.75,378.25,87367
2014-07-17,378.0,387.75,374.5,379.5,99242
2014-07-18,379.0,381.25,370.75,371.25,63661
2014-07-21,369.0,369.0,363.0,364.0,80268
2014-07-22,363.5,367.0,360.0,360.25,56738
2014-07-23,360.0,363.5,357.5,362.5,59923
2014-07-24,361.75,369.0,356.5,361.5,80591
2014-07-25,361.0,363.5,357.0,363.0,76154
2014-07-28,363.0,369.25,363.0,367.75,62888
2014-07-29,367.5,368.5,358.5,361.5,76338
2014-07-30,361.0,364.25,357.75,361.75,78868
2014-07-31,360.5,361.5,356.75,357.0,68927
2014-08-01,357.0,358.75,351.5,352.5,73337
2014-08-04,351.5,361.25,351.5,358.75,75699
2014-08-05,358.0,358.25,353.0,356.25,65793
2014-08-06,355.75,364.0,355.5,363.25,75358
2014-08-07,362.0,362.75,355.75,359.5,133125
2014-08-08,358.75,359.5,351.25,351.75,123611
2014-08-11,351.0,357.75,350.5,356.75,165303
2014-08-12,355.5,362.0,347.75,358.5,194070
2014-08-13,358.0,361.0,354.5,358.0,110215
2014-08-14,357.75,362.75,355.0,362.0,68506
2014-08-15,361.0,368.0,360.5,365.75,74813
2014-08-18,365.5,370.0,359.75,360.75,78822
2014-08-19,360.0,363.25,356.5,362.5,80142
2014-08-20,361.5,362.0,356.25,359.5,95879
2014-08-21,358.75,366.0,358.0,362.25,98455
2014-08-22,361.25,367.0,361.25,365.5,107057
2014-08-25,363.5,364.25,358.75,360.0,78751
2014-08-26,359.0,359.5,353.5,356.0,86304
2014-08-27,355.0,356.5,352.5,356.0,72872
2014-08-28,355.25,362.0,354.75,361.75,71290
2014-08-29,360.0,361.75,356.0,359.0,30831
2014-09-02,357.5,360.5,355.0,355.75,11396
2014-09-03,355.0,355.0,340.5,341.25,11532
2014-09-04,341.25,342.25,333.5,335.75,5047
2014-09-05,336.25,347.5,335.25,346.5,3218
2014-09-08,345.0,348.0,336.75,339.25,893
2014-09-09,338.75,338.75,334.75,336.25,1596
2014-09-10,336.0,340.75,335.0,338.75,1298
2014-09-11,338.0,338.0,329.0,331.75,1728
2014-09-12,333.5,339.0,330.25,339.0,106215
2014-09-15,337.0,343.5,335.75,343.0,102671
2014-09-16,342.5,350.5,338.75,343.75,144551
2014-09-17,343.25,344.25,339.25,341.75,83632
2014-09-18,341.0,341.75,338.0,338.25,100943
2014-09-19,338.0,338.25,331.5,331.5,107635
2014-09-22,331.0,331.5,326.75,330.25,131674
2014-09-23,329.5,331.0,325.25,325.5,125167
2014-09-24,325.5,330.0,324.75,329.5,132651
2014-09-25,329.25,330.75,325.25,326.0,107743
2014-09-26,326.0,327.0,322.75,323.0,86605
2014-09-29,322.25,326.5,322.0,325.75,104805
2014-09-30,325.5,326.25,319.5,320.75,173979
2014-10-01,320.25,323.5,318.25,321.25,121907
2014-10-02,320.5,323.25,319.25,322.75,123125
2014-10-03,322.75,325.75,321.0,323.25,92118
2014-10-06,323.25,332.75,323.25,332.5,134901
2014-10-07,331.75,342.25,330.5,340.5,218114
2014-10-08,340.0,343.5,337.5,343.25,127485
2014-10-09,342.5,348.0,340.75,344.75,174549
2014-10-10,343.25,348.5,332.5,334.0,234751
2014-10-13,333.5,347.5,330.5,346.0,142097
2014-10-14,345.5,357.5,343.0,357.0,194804
2014-10-15,356.0,358.25,346.5,347.5,183378
2014-10-16,347.75,353.0,345.0,352.25,138242
2014-10-17,351.75,355.75,346.5,348.0,127179
2014-10-20,345.25,349.0,342.0,348.25,140828
2014-10-21,347.5,358.75,347.0,356.0,159476
2014-10-22,355.5,361.0,352.25,353.0,174942
2014-10-23,352.0,360.25,351.0,359.75,144314
2014-10-24,359.25,365.0,352.25,353.0,162470
2014-10-27,351.75,363.75,348.5,363.0,172966
2014-10-28,362.5,371.75,361.25,364.5,222302
2014-10-29,364.25,376.0,362.5,375.25,217048
2014-10-30,374.75,381.0,371.5,374.0,203146
2014-10-31,372.75,378.0,368.0,376.75,190821
2014-11-03,374.5,375.25,370.5,373.5,157753
2014-11-04,372.5,372.5,364.0,364.5,178121
2014-11-05,364.0,371.75,359.0,370.25,213921
2014-11-06,369.5,374.5,366.5,371.25,173692
2014-11-07,370.0,371.75,364.25,367.5,207974
2014-11-10,366.0,378.75,364.75,369.25,308187
2014-11-11,368.25,374.5,365.5,373.75,225095
2014-11-12,373.5,385.0,372.75,377.75,337611
2014-11-13,377.0,389.0,377.0,386.25,299508
2014-11-14,385.5,387.0,380.5,381.75,160958
2014-11-17,381.5,384.25,374.25,377.5,166794
2014-11-18,377.5,378.75,371.25,372.0,165776
2014-11-19,371.75,372.0,362.75,363.25,203634
2014-11-20,363.0,374.75,362.5,373.25,192317
2014-11-21,372.75,381.5,369.75,372.75,208536
2014-11-24,372.25,372.75,365.5,367.5,159589
2014-11-25,367.5,375.25,366.25,374.25,153228
2014-11-26,374.0,378.75,373.75,378.25,163797
2014-11-28,377.0,380.25,370.25,375.75,29217
2014-12-01,374.0,377.75,370.25,375.5,18534
2014-12-02,375.25,376.75,367.5,367.75,13656
2014-12-03,367.5,369.5,364.25,368.75,8079
2014-12-04,368.5,376.75,367.75,376.0,9626
2014-12-05,375.25,382.5,372.25,381.5,3531
2014-12-08,380.5,386.25,376.5,377.5,7014
2014-12-09,377.25,383.75,374.75,383.0,7143
2014-12-10,382.5,384.75,377.75,382.5,5464
2014-12-11,382.5,390.5,382.5,390.0,5451
2014-12-12,389.75,398.5,388.0,396.25,194045
2014-12-15,407.5,412.5,405.0,408.5,162942
2014-12-16,407.75,411.5,404.0,406.0,172142
2014-12-17,405.75,410.0,403.5,408.25,120238
2014-12-18,408.0,414.0,407.0,411.0,125321
2014-12-19,410.75,411.25,405.0,410.5,117608
2014-12-22,409.75,414.25,408.5,411.75,90601
2014-12-23,411.0,415.75,410.5,414.0,90856
2014-12-24,413.5,415.0,405.75,407.75,68812
2014-12-26,410.25,415.0,405.75,414.75,52280
2014-12-29,414.0,417.0,410.75,412.75,86310
2014-12-30,411.75,412.75,406.0,406.5,95776
2014-12-31,406.0,406.5,396.0,397.0,119262
2015-01-02,396.25,398.5,391.5,395.75,88774
